Shift_ID, GPS_ID, Date, Time, Location
7,3,'2021-01-20','14:00:00','Ramsey'
8,3,'2021-01-20','14:00:00','Stives'
9,3,'2021-01-20','14:00:00','Swavesy'
10,3,'2021-01-20','14:00:00','Longstanton'
11,3,'2021-01-21','10:00:00','Somersham'
12,3,'2021-01-21','10:00:00','Huntingdon'
13,3,'2021-01-21','10:00:00','Swavesy'
14,3,'2021-01-21','10:00:00','Longstanton'
15,3,'2021-01-21','10:00:00','Somersham'
16,3,'2021-01-21','14:00:00','Brampton'
17,3,'2021-01-21','14:00:00','Ramsey'
18,3,'2021-01-21','14:00:00','Cherry Hinton'
19,3,'2021-01-21','14:00:00','Cambridge'
20,3,'2021-01-21','14:00:00','Haverhill'
21,3,'2021-01-22','10:00:00','Swavesy'
22,3,'2021-01-22','10:00:00','Longstanton'
23,3,'2021-01-22','10:00:00','Somersham'
24,3,'2021-01-22','10:00:00','Brampton'
25,3,'2021-01-22','10:00:00','Ramsey'
26,3,'2021-01-22','14:00:00','Cherry Hinton'
27,3,'2021-01-22','14:00:00','Cambridge'
28,3,'2021-01-22','14:00:00','Haverhill'
29,3,'2021-01-22','14:00:00','Cherry Hinton'
30,3,'2021-01-22','14:00:00','Cambridge'
31,3,'2021-01-23','10:00:00','Haverhill'
32,3,'2021-01-23','10:00:00','Huntingdon'
33,3,'2021-01-23','10:00:00','Swavesy'
34,3,'2021-01-23','10:00:00','Longstanton'
35,3,'2021-01-23','10:00:00','Somersham'
36,3,'2021-01-23','14:00:00','Huntingdon'
37,3,'2021-01-23','14:00:00','Swavesy'
38,3,'2021-01-23','14:00:00','Longstanton'
39,3,'2021-01-23','14:00:00','Somersham'
40,3,'2021-01-23','14:00:00','Brampton'
41,3,'2021-01-24','10:00:00','Cherry Hinton'
42,3,'2021-01-24','10:00:00','Cambridge'
43,3,'2021-01-24','10:00:00','Haverhill'
44,3,'2021-01-24','10:00:00','Huntingdon'
45,3,'2021-01-24','10:00:00','Swavesy'
46,3,'2021-01-24','14:00:00','Longstanton'
47,3,'2021-01-24','14:00:00','Somersham'
48,3,'2021-01-24','14:00:00','Brampton'
49,3,'2021-01-24','14:00:00','Huntingdon'
50,3,'2021-01-24','14:00:00','Swavesy'
1,4,'2021-01-20','11:00:00','Longstanton'
2,4,'2021-01-20','11:00:00','Somersham'
3,4,'2021-01-20','11:00:00','Brampton'
4,4,'2021-01-20','11:00:00','Ramsey'
5,4,'2021-01-20','11:00:00','Stives'
6,4,'2021-01-20','15:00:00','Cherry Hinton'
7,4,'2021-01-20','15:00:00','Longstanton'
8,4,'2021-01-20','15:00:00','Somersham'
9,4,'2021-01-20','15:00:00','Huntingdon'
10,4,'2021-01-20','15:00:00','Swavesy'
11,4,'2021-01-21','11:00:00','Longstanton'
12,4,'2021-01-21','11:00:00','Somersham'
13,4,'2021-01-21','11:00:00','Brampton'
14,4,'2021-01-21','11:00:00','Cherry Hinton'
15,4,'2021-01-21','11:00:00','Cambridge'
16,4,'2021-01-21','15:00:00','Haverhill'
17,4,'2021-01-21','15:00:00','Huntingdon'
18,4,'2021-01-21','15:00:00','Swavesy'
19,4,'2021-01-21','15:00:00','Longstanton'
20,4,'2021-01-21','15:00:00','Somersham'
21,4,'2021-01-22','11:00:00','Cherry Hinton'
22,4,'2021-01-22','11:00:00','Huntingdon'
23,4,'2021-01-22','11:00:00','Swavesy'
24,4,'2021-01-22','11:00:00','Longstanton'
25,4,'2021-01-22','11:00:00','Somersham'
26,4,'2021-01-22','15:00:00','Brampton'
27,4,'2021-01-22','15:00:00','Ramsey'
28,4,'2021-01-22','15:00:00','Stives'
29,4,'2021-01-22','15:00:00','Cherry Hinton'
30,4,'2021-01-22','15:00:00','Cambridge'
31,4,'2021-01-23','11:00:00','Haverhill'
32,4,'2021-01-23','11:00:00','Longstanton'
33,4,'2021-01-23','11:00:00','Huntingdon'
34,4,'2021-01-23','11:00:00','Swavesy'
35,4,'2021-01-23','11:00:00','Longstanton'
36,4,'2021-01-23','15:00:00','Somersham'
37,4,'2021-01-23','15:00:00','Brampton'
38,4,'2021-01-23','15:00:00','Ramsey'
39,4,'2021-01-23','15:00:00','Stives'
40,4,'2021-01-23','15:00:00','Haverhill'
41,4,'2021-01-24','11:00:00','Huntingdon'
42,4,'2021-01-24','11:00:00','Swavesy'
43,4,'2021-01-24','11:00:00','Longstanton'
44,4,'2021-01-24','11:00:00','Somersham'
45,4,'2021-01-24','11:00:00','Brampton'
46,4,'2021-01-24','15:00:00','Ramsey'
47,4,'2021-01-24','15:00:00','Stives'
48,4,'2021-01-24','15:00:00','Cherry Hinton'
49,4,'2021-01-24','15:00:00','Cambridge'
50,4,'2021-01-24','15:00:00','Haverhill'
